TF,false_low_capacity_prob_fixed
A430033K04Rik,0.14549578843361244
Adnp,0.5816465918218707
Ahrr,0.28930443122815297
Alx1,0
Arnt,0.3482349621092402
Arnt2,0.4008857873479317
Arntl2,0.46818567786248066
Ascl1,0
Atf1,0.43603260031917324
Atf3,0.19107611804384073
Atf4,0
Atf5,0.13149895964807934
Atf7,0
Bach2,0.18784345422234183
Barx1,0.5000790357364537
Batf,0.2560981181531776
Batf3,0.6856333308963145
Bbx,0.6178805693361544
Bcl6b,0.29829041619511953
Bhlhe23,0
Bhlhe40,0.13629932372903864
Bmyc,0.08303191055601578
Carhsp1,0.0391060660098006
Cbx2,0.4302890638081248
Cdx2,0
Cdx4,0
Cebpa,0
Cebpe,0.47854296294696286
Chrac1,0.14955832307101924
Churc1,0.23007390123103721
Creb3,0
Creb3l2,0.1365249050627717
Creb3l3,0.06248713220405855
Crx,0.30068289876942633
Dbx1,0.13686539014136978
Dcun1d3,0.1581831908402509
Ddit3,0.14911914833919537
Dlx3,0
Dlx4,0
Dlx6,0
Dmbx1,0.3852102527701273
Dr1,0.09659023408934686
Duxbl1,0
E2f2,0.10093339216486041
E2f5,0.14400534194165826
E2f6,0.05780052492847254
E430018J23Rik,0.13211046499794832
Ebf3,0.6603547774621726
Ecd,0.0634479957732943
Edf1,0.03409090909090906
Egr1,0
Elf1,0.5547992992364382
Elf2,0.6726427822963262
Elf4,0.21572971336611557
Elk1,0.28824115488604474
Elk3,0.635312392723866
En2,0
Ep300,0.5464070286909599
Erf,0.28824115488604474
Esr2,0
Esrra,0.635312392723866
Ets1,0
Ets2,0.2851239663879873
Etv1,0
Etv6,0.43216354446291905
Fezf2,0
Fos,0
Fosl1,0.1866602389394263
Fosl2,0
Foxa1,0
Foxi1,0.14029531792553318
Foxi2,0.20516172896227503
Foxj1,0.21865333640218176
Foxn1,0.48916929829375133
Foxn3,0.12990739065512014
Foxn4,0.5724007140921394
Foxp1,0
Foxp2,0
Foxp3,0.14761033459883488
Foxs1,0.2821164533605728
Gabpa,0.22452047468741554
Gata2,0
Gata3,0.3274124457313792
Gata4,0
Gata5,0
Gatad2b,0.44216362584603985
Gcm2,0
Gfi1b,0.23151693297251807
Gmeb1,0.5724007140921394
Gmeb2,0.6011354001806375
Grhl2,0
Grhl3,0.7129568473881119
Hbp1,0.6994116540364134
Hes2,0.14360719739211825
Hes3,0.022727272727272707
Hes5,0.1866602389394263
Hes7,0.13518791028066757
Hey1,0
Hey2,0.1027101422044513
Hlf,0.2526674846432898
Hmbox1,0.07875713066975498
Hmg20a,0.44216362584603985
Hmga2,0
Hmgb1,0.5228121566634218
Hmgb3,0.2344735867639326
Hmgn1,0.18944541798141634
Hmgxb4,0.43216354446291905
Hnf4a,0
Hnf4g,0.13453387676011752
Hoxa13,0
Hoxa6,0
Hoxa7,0.20540415377933696
Hoxa9,0
Hoxb2,0.24763993349228786
Hoxb5,0
Hoxb6,0
Hoxb7,0.2258773519798406
Hoxd10,0.41712127943978583
Hsf3,0.6856333308963145
Ikbkg,0.5547992992364382
Irf3,0
Irf6,0.23224713039954215
Irx6,0.6178805693361544
Isx,0
Klf11,0.3482349621092402
Klf12,0
Klf4,0
Krba1,0.3411876045928923
Lcor,0
Lhx3,0
Lsr,0.20841881936711304
Lzts1,0.2742951106180834
Lzts2,0
Mafb,0.2105457357992384
Mafg,0.10226377965741007
Mafk,0.27816372851758975
Maz,0.07011375586922952
Mbd3,0.07283159349415302
Mbnl1,0.142951276263526
Mbnl2,0.5634580351404146
Mbnl3,0.7186533364021817
Mef2c,0
Meis2,0
Meox2,0
Mesp1,0
Mitf,0.6114282169032321
Mkrn2,0.40893104966584104
Mnt,0.29711737939185523
Msgn1,0.6726427822963262
Mta1,0.40893104966584104
Mxd1,0.2043387792684882
Myc,0.33424784453344303
Mycn,0
Myod1,0
Myog,0
Myrfl,0.3274124457313792
N4bp3,0.057178074579228966
Neurod2,0
Neurog1,0.27621913049636293
Nfia,0
Nfil3,0.29711737939185523
Nfkb1,0
Nfyc,0.10564766635555423
Nhlh1,0.03409090909090906
Nkx1-2,0
Nkx2-5,0
Nkx2-6,0
Nkx3-1,0
Npas2,0.5634580351404146
Nr4a2,0
Nufip1,0.06594296176109837
Nupl2,0.33424784453344303
Obox7,0.14078939393630152
Olig3,0.2061392837450461
Onecut2,0
Osr1,0.4231552805861707
Otx2,0
Pax9,0
Pbrm1,0.2578380183379323
Pbx3,0.6726427822963262
Pdx1,0
Pitx2,0
Pknox2,0.28615119868379935
Pogz,0.6114282169032321
Pou3f2,0
Pou5f1,0
Pou6f1,0
Pparg,0
Pparg1,0.14321251000241542
Prdm1,0.7186533364021817
Prox2,0.19485579321163526
Prr3,0.12734187652307694
Prrxl1,0.44216362584603985
Rbak,0.4340774907536311
Rbm10,0.42665221520687946
Rbm22,0.42488693467441563
Rbpj,0.635312392723866
Rbpjl,0.21928685179455398
Rela,0.18744733555243676
Rfx5,0.32067831582904227
Rhox10,0
Rhox11,0.6114282169032321
Rhox12,0
Rhox6,0.14703676805523436
Rhox9,0.43216354446291905
Rnf113a2,0.18705293540710966
Rogdi,0.43603260031917324
Runx2,0
Sall3,0.4008857873479317
Sebox,0.056374108174787385
Six2,0
Smad3,0.21482361268880568
Smarcc1,0.448226065247713
Smarcc2,0.08003015330194663
Smarcd3,0.030317276401303217
Sox13,0.20764620225945074
Sox15,0
Sox2,0
Sox6,0.6726427822963262
Sp110,0.15448496726490635
Spert,0.20339180100864684
Spi1,0.43603260031917324
Srebf2,0.2102743645725792
St18,0.5816465918218707
Stat1,0.3626661886158674
Stat3,0.09003875963907293
T,0
Tada2a,0.12724958299805955
Tal2,0.14204860314308954
Taz,0.20920479650847945
Tbx10,0.12447788933061732
Tbx15,0.355393306185667
Tbx21,0.2578380183379323
Tbx22,0.2851239663879873
Tbx3,0
Tbx5,0
Tcf23,0.2994787872466972
