"","Asym","xmid","scal","TF","Dose.max","Dose.min","startpoint","endpoint","category","predict.value_meanDose"
"Esr2",0.446,1.614,1.096,"Esr2",6.531,0.553,0.12,0.44,"high-capacity & high-sensitivity",0.35
"Nkx2-6",0.446,3.667,2.15,"Nkx2-6",6.507,0.693,0.09,0.35,"high-capacity & low-sensitivity",0.19
"Zscan18",0.232,4.174,4.079,"Zscan18",4.174,0.693,0.07,0.12,"low-capacity",0.1
"Nfia",0.422,3.035,1.095,"Nfia",4.522,0.693,0.04,0.34,"high-capacity & low-sensitivity",0.21
"Bcl6b",0.1,0,0.001,"Bcl6b",4.344,0.693,0.1,0.1,"low-capacity",0.1
"Hmgb1",0.106,1.547,0.544,"Hmgb1",3.555,0.693,0.02,0.1,"low-capacity",0.1
"Hoxb6",0.53,2.151,0.949,"Hoxb6",4.949,0.693,0.09,0.5,"high-capacity & high-sensitivity",0.38
"Myog",0.85,1.218,3.178,"Myog",6.068,0.693,0.39,0.7,"high-capacity & high-sensitivity",0.54
"Pax9",0.588,2.582,2.001,"Pax9",5.273,0.693,0.16,0.47,"high-capacity & high-sensitivity",0.32
"Smad3",0.137,0,10,"Smad3",5.024,0.693,0.07,0.09,"low-capacity",0.08
"Zfp688",0.075,0.565,0.199,"Zfp688",4.511,0.693,0.05,0.07,"low-capacity",0.07
"Neurod2",0.473,3.113,2.075,"Neurod2",4.277,0.693,0.11,0.3,"high-capacity & high-sensitivity",0.23
"Ets1",0.499,2.302,1.49,"Ets1",5.412,0.693,0.13,0.44,"high-capacity & high-sensitivity",0.31
"Osr1",0.238,3.758,3.73,"Osr1",3.97,0.693,0.07,0.12,"low-capacity",0.11
"Pknox2",0.117,0.313,2.697,"Pknox2",4.159,0.693,0.06,0.09,"low-capacity",0.09
"Hmgb3",0.07,0,0.001,"Hmgb3",3.738,0.693,0.07,0.07,"low-capacity",0.07
"Gatad2b",0.247,3.761,6.777,"Gatad2b",3.761,0.693,0.1,0.12,"low-capacity",0.12
"Meox2",0.483,2.87,1.464,"Meox2",4.094,0.693,0.09,0.34,"high-capacity & high-sensitivity",0.25
"Hoxa7",0.304,3.613,1.953,"Hoxa7",5.231,0.693,0.06,0.21,"low-capacity",0.13
"Rhox6",0.078,0.919,0.25,"Rhox6",5.765,0.693,0.02,0.08,"low-capacity",0.08
"Zfand5",0.276,6.957,4.221,"Zfand5",6.957,0.693,0.05,0.14,"low-capacity",0.08
"Atf3",0.162,1.729,0.763,"Atf3",5.398,0.693,0.03,0.16,"low-capacity",0.14
"Zfp41",0.162,0.495,3.148,"Zfp41",6.201,0.693,0.08,0.14,"low-capacity",0.11
"Prrxl1",0.108,1.304,0.091,"Prrxl1",3.584,0.693,0,0.11,"low-capacity",0.11
"Dr1",0.307,6.458,9.661,"Dr1",6.458,0.693,0.11,0.15,"low-capacity",0.13
"Nr4a2",0.517,3.325,1.004,"Nr4a2",5.037,0.693,0.04,0.44,"high-capacity & low-sensitivity",0.22
"Rhox9",0.112,0.961,0.623,"Rhox9",3.871,0.693,0.04,0.11,"low-capacity",0.11
"Myod1",0.609,0,0.934,"Myod1",5.617,0.693,0.41,0.61,"high-capacity & high-sensitivity",0.59
"Hoxb7",0.392,4.89,2.745,"Hoxb7",4.89,0.693,0.07,0.2,"low-capacity",0.13
"Creb3l2",0.136,0.688,1.003,"Creb3l2",5.996,0.693,0.07,0.14,"low-capacity",0.12
"Nfil3",0.122,0,10,"Nfil3",4.357,0.693,0.06,0.07,"low-capacity",0.07
"Sall3",0.146,0,10,"Sall3",4.043,0.693,0.08,0.09,"low-capacity",0.08
"Zfp788",0.112,0,0.489,"Zfp788",5.124,0.693,0.09,0.11,"low-capacity",0.11
"Srebf2",0.087,0.397,0.893,"Srebf2",5.124,0.693,0.05,0.09,"low-capacity",0.08
"Gata3",0.402,4.205,4.431,"Gata3",4.205,0.693,0.13,0.2,"low-capacity",0.17
"Crx",0.184,1.506,1.13,"Crx",4.317,0.693,0.06,0.17,"low-capacity",0.15
"Zdhhc16",0.227,0,10,"Zdhhc16",5.112,0.693,0.12,0.14,"low-capacity",0.13
"Pbrm1",0.091,0,0.001,"Pbrm1",4.644,0.693,0.09,0.09,"low-capacity",0.09
"Tnfaip3",0.289,5.278,4.884,"Tnfaip3",5.278,0.693,0.08,0.14,"low-capacity",0.11
"Irf6",0.17,1.347,2.114,"Irf6",4.82,0.693,0.07,0.14,"low-capacity",0.12
"Zdhhc25",0.211,6.256,10,"Zdhhc25",6.256,0.693,0.08,0.11,"low-capacity",0.09
"Tead1",0.322,3.281,1.872,"Tead1",4.277,0.693,0.06,0.2,"low-capacity",0.15
"Otx2",0.672,5.037,4.062,"Otx2",5.037,0.693,0.17,0.34,"high-capacity & high-sensitivity",0.25
"Zfp87",0.092,0.654,0.344,"Zfp87",4.691,0.693,0.05,0.09,"low-capacity",0.09
"Nfyc",0.148,0.969,0.296,"Nfyc",4.304,0.693,0.04,0.15,"low-capacity",0.15
"Tbx22",0.244,4.489,5.955,"Tbx22",4.489,0.693,0.08,0.12,"low-capacity",0.11
"Tfap4",0.228,3.342,2.378,"Tfap4",3.584,0.693,0.06,0.12,"low-capacity",0.11
"Hmg20a",0.218,0,10,"Hmg20a",3.761,0.693,0.11,0.13,"low-capacity",0.13
"Zfp462",0.142,0,10,"Zfp462",4.078,0.693,0.07,0.09,"low-capacity",0.08
"Zfp593",0.089,0,0.001,"Zfp593",4.511,0.693,0.09,0.09,"low-capacity",0.09
"Stat1",0.283,3.8,2.377,"Stat1",4.127,0.693,0.06,0.15,"low-capacity",0.12
"Ets2",0.201,4.205,2.665,"Ets2",4.205,0.693,0.04,0.1,"low-capacity",0.08
"Gabpa",0.12,0,10,"Gabpa",4.905,0.693,0.06,0.07,"low-capacity",0.07
"Rbpjl",0.086,2.509,0.016,"Rbpjl",4.963,0.693,0,0.09,"low-capacity",0.09
"Bach2",0.211,1.577,0.867,"Bach2",5.434,0.693,0.06,0.21,"low-capacity",0.18
"Batf",0.279,4.654,4.047,"Batf",4.654,0.693,0.08,0.14,"low-capacity",0.11
